#    workspaces/2/AA12+SEAN33_d_27.dat
t1   23    1     0.000     0.728   168.820 16713041 0 0 1 64
t1   28    1     0.443     0.577   168.820 16713041 0 0 3 65
t1   32    1     0.672     0.278   168.820 16713041 0 0 5 65
t1   36    1     0.721    -0.095   168.820 16777215 0 0 7 65
t1   41    1     0.514    -0.514   168.820 16713041 0 0 10 64
t1   45    1     0.188    -0.703   168.820 16713041 0 0 12 64
t1   23    1     0.000     0.728   168.820 16713041 0 0 1 64
t1   28    1     0.443     0.577   168.820 16713041 0 0 3 65
t1   32    1     0.672     0.278   168.820 16713041 0 0 5 65
t1   36    1     0.721    -0.095   168.820 16713041 0 0 7 65
t1   41    1     0.514    -0.514   168.820 16713041 0 0 10 64
t1   45    1     0.188    -0.703   168.820 16713041 0 0 12 64
t1   24    2     0.190     1.443   165.909 16713060 0 0 1 66
t1   29    2     1.029     1.029   165.909 16713060 0 0 4 63
t1   33    2     1.406     0.377   165.909 16713060 0 0 6 63
t1   37    2     1.406    -0.377   165.909 16777215 0 0 8 63
t1   42    2     0.886    -1.154   165.909 16713060 0 0 10 66
t1   46    2     0.190    -1.443   165.909 16713060 0 0 12 66
t1   25    3     0.565     2.108   162.999 16713078 0 0 2 62
t1   30    3     1.732     1.329   162.999 16713078 0 0 4 67
t1   34    3     2.164     0.285   162.999 16713078 0 0 6 67
t1   38    3     2.017    -0.835   162.999 16713078 0 0 8 67
t1   43    3     1.091    -1.890   162.999 16713078 0 0 11 62
t1   25    3     0.565     2.108   162.999 16713078 0 0 2 62
t1   30    3     1.732     1.329   162.999 16777215 0 0 4 67
t1   34    3     2.164     0.285   162.999 16713078 0 0 6 67
t1   38    3     2.017    -0.835   162.999 16713078 0 0 8 67
t1   43    3     1.091    -1.890   162.999 16713078 0 0 11 62
t1   26    4     1.114     2.689   160.088 16713097 0 0 2 68
t1   31    4     2.521     1.455   160.088 16713097 0 0 5 61
t1   35    4     2.910     0.000   160.088 16713097 0 0 7 61
t1   39    4     2.521    -1.455   160.088 16713097 0 0 9 61
t1   44    4     1.114    -2.689   160.088 16713097 0 0 11 68
t1   23    5     0.000     3.638   157.178 16713115 0 0 1 60
t1   27    5     1.819     3.151   157.178 16713115 0 0 3 60
t1   32    5     3.361     1.392   157.178 16713115 0 0 5 69
t1   36    5     3.607    -0.475   157.178 16713115 0 0 7 69
t1   40    5     2.886    -2.215   157.178 16713115 0 0 9 69
t1   45    5     0.942    -3.514   157.178 16713115 0 0 12 60
t1   23    5     0.000     3.638   157.178 16713115 0 0 1 60
t1   27    5     1.819     3.151   157.178 16713115 0 0 3 60
t1   32    5     3.361     1.392   157.178 16713115 0 0 5 69
t1   36    5     3.607    -0.475   157.178 16713115 0 0 7 69
t1   40    5     2.886    -2.215   157.178 16713115 0 0 9 69
t1   45    5     0.942    -3.514   157.178 16713115 0 0 12 60
t1   24    6     0.570     4.328   154.267 16713133 0 0 1 70
t1   28    6     2.658     3.463   154.267 16713133 0 0 3 70
t1   33    6     4.217     1.130   154.267 16713133 0 0 6 59
t1   37    6     4.217    -1.130   154.267 16713133 0 0 8 59
t1   41    6     3.087    -3.087   154.267 16713133 0 0 10 59
t1   46    6     0.570    -4.328   154.267 16713133 0 0 12 70
t1   25    7     1.318     4.920   151.357 16713152 0 0 2 58
t1   29    7     3.601     3.601   151.357 16713152 0 0 4 58
t1   34    7     5.050     0.665   151.357 16713152 0 0 6 71
t1   38    7     4.706    -1.949   151.357 16713152 0 0 8 71
t1   42    7     3.101    -4.041   151.357 16713152 0 0 10 71
t1   25    7     1.318     4.920   151.357 16713152 0 0 2 58
t1   29    7     3.601     3.601   151.357 16777215 0 0 4 58
t1   34    7     5.050     0.665   151.357 16713152 0 0 6 71
t1   38    7     4.706    -1.949   151.357 16713152 0 0 8 71
t1   42    7     3.101    -4.041   151.357 16713152 0 0 10 71
t1   26    8     2.228     5.378   148.447 16713170 0 0 2 72
t1   30    8     4.618     3.544   148.447 16713170 0 0 4 72
t1   35    8     5.821     0.000   148.447 16713170 0 0 7 57
t1   39    8     5.041    -2.910   148.447 16713170 0 0 9 57
t1   43    8     2.910    -5.041   148.447 16713170 0 0 11 57
t1   23    9     0.000     6.548   145.536 16713188 0 0 1 56
t1   27    9     3.274     5.671   145.536 16713188 0 0 3 56
t1   31    9     5.671     3.274   145.536 16777215 0 0 5 56
t1   36    9     6.492    -0.855   145.536 16713188 0 0 7 73
t1   40    9     5.195    -3.986   145.536 16713188 0 0 9 73
t1   44    9     2.506    -6.050   145.536 16713188 0 0 11 73
t1   23    9     0.000     6.548   145.536 16713188 0 0 1 56
t1   27    9     3.274     5.671   145.536 16713188 0 0 3 56
t1   31    9     5.671     3.274   145.536 16713188 0 0 5 56
t1   36    9     6.492    -0.855   145.536 16713188 0 0 7 73
t1   40    9     5.195    -3.986   145.536 16713188 0 0 9 73
t1   44    9     2.506    -6.050   145.536 16713188 0 0 11 73
t1   24   10     0.950     7.214   142.626 16713207 0 0 1 74
